segment_name,lat,long
D01-020,49.4530322551,15.6058254462
D01-050,49.5447066147,17.5593928334
D08-011,50.6499378043,13.9922545547
I11-002,50.2127866153,15.7840739706
I12-008,50.0669999223,14.835460568
I16-032,50.4244123731,15.3688051522
I20-076,49.1074565228,14.2286171403
I26-037,49.4203877192,12.8754037151
I26-049,49.3433194226,12.8511518297
I35-079,50.0695895957,15.9754918245
I38-070,49.7160670994,15.516548306
I11-017,49.8184930016,18.1739397674
I26-019,49.5561294049,13.0604511664
I11-015,49.4960372832,18.7648588915
I20-058,49.29575558,14.1609902061
I03-023,49.629470117,14.6512187096
I34-024,49.0974902287,14.9911114946
D01-029,49.1989390939,16.4249366505
D05-010,49.7581811116,13.6246758104
I19-024,49.426653661,14.9355212117
I19-027,49.4213133401,14.9708684424
I20-074,49.1320150986,14.1984538393
I26-048,49.3460525522,12.8519228572
I34-075,49.5152338114,15.3454640471
I34-077,49.524268987,15.3491950375
I35-022,50.5382202471,15.22958378
I38-050,49.896783797,15.4091600149
D01-040,49.2683345997,17.009782223
D06-006,50.1607923993,13.9358119484
I20-023,49.5297358308,13.5229334164
I20-056,49.3173301036,14.1294752097
I20-069,49.1771525209,14.1985963018
I26-036,49.4268486952,12.8794513442
I33-021,50.384148431,16.0377721407
I35-033,50.4671150563,15.3433160029
I35-103,49.8170699161,16.4115627092
I38-008,50.5542818717,14.6612416259
I52-003,49.1242682989,16.6040863694
I35-093,49.9072795481,16.2032373571
D35-014,49.6409760027,17.1386002423
I12-026,50.0392100212,15.1123666823
D05-022,49.7328296799,12.7279212011
I26-002,49.719489572,13.2988629184
I34-026,49.1138373593,15.0005193691
I34-054,49.367741359,15.1564439136
I34-056,49.391772397,15.1834230057
I35-075,50.1195770339,15.92547233
I47-007,49.4938830535,17.4820719145
I50-040,49.0160939042,17.6358241196
I30-002,50.534091804,14.0569677933
D01-060,49.8495556669,18.2303935002
D35-003,49.7177447658,17.0030043906
D06-001,50.082994337,14.2812371297
I12-020,50.0445829309,15.0232815455
I26-015,49.5911717232,13.091283768
I34-009,48.9974686874,14.709571994
I38-049,49.9025217361,15.4059725469
I52-007,48.9580569842,16.5210952151
I12-023,50.0444525247,15.0776578713
I58-004,49.7011212978,18.1512982728
D03-010,49.1141128288,14.5867170104
D35-013,49.5490774071,17.5492684484
I20-081,49.0657044527,14.2986805582
I26-033,49.46581711,12.8727467365
I34-036,49.2188241718,15.0691295977
I35-118,49.7696724868,16.7618618688
I38-034,50.0172575548,15.1796839367
I38-047,49.917094668,15.4036534732
I38-058,49.8312860339,15.4653368653
I43-012,49.372480466,16.5705010958
I48-006,49.5677446312,17.9422330989
D56-002,49.7582593949,18.2744477052
I34-004,49.0074490955,14.5832319873
I47-006,49.4877843064,17.4653528252
D01-036,49.186865735,16.7403688588
I34-013,49.0309225763,14.8040325414
I34-060,49.4399805175,15.2279948749
I34-074,49.5094291435,15.3379569069
I35-037,50.4284588799,15.4466559607
I38-077,49.6440469726,15.5605006124
I38-083,49.5587043375,15.5851272903
I55-003,49.3842919027,17.4566617769
D01-014,49.694699865,15.0916623067
D03-012,49.0332045574,14.509704388
I03-026,49.5610545925,14.6622234356
I35-076,50.1029488462,15.9518332191
I50-021,49.1552074676,17.2145318337
D10-015,50.5612308522,15.0523685253
I11-007,49.689146671,18.6115943078
I26-018,49.5617372625,13.0673364767
I33-006,50.2916390761,15.8355024932
I04-001,49.9485405758,14.3741414767
I43-026,49.5273921122,16.5823579025
I43-034,49.6329980836,16.5217213716
I50-018,49.1584651474,17.1715532052
I50-049,48.9744524318,17.8491855267
D01-024,49.3631103945,16.0023684631
D07-010,50.4302779341,13.4185824894
D08-004,50.3533689829,14.2749659682
D08-009,50.5355889306,13.9968829642
I16-003,50.4103143858,14.9858843039
I16-033,50.4291384625,15.379449331
